Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: String, ArraySize: 2500, InputSize: Long, Time: 0.027 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: String, ArraySize: 25000, InputSize: Short, Time: 0.712 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: String, ArraySize: 25000, InputSize: Long, Time: 0.453 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 250, InputSize: Short, Time: 0.254 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 250, InputSize: Long, Time: 0.254 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 2500, InputSize: Short, Time: 24.724 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 2500, InputSize: Long, Time: 24.745 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 25000, InputSize: Short, Time: 2468.999 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 25000, InputSize: Long, Time: 2467.172 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: Double, ArraySize: 250, InputSize: Short, Time: 0.248 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: Double, ArraySize: 250, InputSize: Long, Time: 0.247 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: Double, ArraySize: 2500, InputSize: Short, Time: 24.492 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: Double, ArraySize: 2500, InputSize: Long, Time: 24.469 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: Double, ArraySize: 25000, InputSize: Short, Time: 2545.277 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: Double, ArraySize: 25000, InputSize: Long, Time: 4583.486 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: String, ArraySize: 250, InputSize: Short, Time: 0.296 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: String, ArraySize: 250, InputSize: Long, Time: 0.295 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: String, ArraySize: 2500, InputSize: Short, Time: 28.971 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: String, ArraySize: 2500, InputSize: Long, Time: 30.130 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: String, ArraySize: 25000, InputSize: Short, Time: 5528.448 ms
Sorter: BubbleSortWhileNeeded, Distribution: Inverse-sorted, DataType: String, ArraySize: 25000, InputSize: Long, Time: 5314.753 ms

Sorter: QuickSortGPT, Distribution: Random, DataType: Integer, ArraySize: 250, InputSize: Short, Time: 0.248 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: Integer, ArraySize: 250, InputSize: Long, Time: 0.194 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: Integer, ArraySize: 2500, InputSize: Short, Time: 0.992 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: Integer, ArraySize: 2500, InputSize: Long, Time: 0.623 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: Integer, ArraySize: 25000, InputSize: Short, Time: 35.338 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: Integer, ArraySize: 25000, InputSize: Long, Time: 8.705 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: Double, ArraySize: 250, InputSize: Short, Time: 0.219 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: Double, ArraySize: 250, InputSize: Long, Time: 0.169 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: Double, ArraySize: 2500, InputSize: Short, Time: 2.308 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: Double, ArraySize: 2500, InputSize: Long, Time: 2.253 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: Double, ArraySize: 25000, InputSize: Short, Time: 17.189 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: Double, ArraySize: 25000, InputSize: Long, Time: 5.428 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: String, ArraySize: 250, InputSize: Short, Time: 0.250 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: String, ArraySize: 250, InputSize: Long, Time: 0.183 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: String, ArraySize: 2500, InputSize: Short, Time: 3.049 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: String, ArraySize: 2500, InputSize: Long, Time: 2.429 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: String, ArraySize: 25000, InputSize: Short, Time: 14.615 ms
Sorter: QuickSortGPT, Distribution: Random, DataType: String, ArraySize: 25000, InputSize: Long, Time: 9.856 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: Integer, ArraySize: 250, InputSize: Short, Time: 0.285 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: Integer, ArraySize: 250, InputSize: Long, Time: 0.278 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: Integer, ArraySize: 2500, InputSize: Short, Time: 26.832 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: Integer, ArraySize: 2500, InputSize: Long, Time: 26.755 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: Integer, ArraySize: 25000, InputSize: Short, Time: 2756.997 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: Integer, ArraySize: 25000, InputSize: Long, Time: 2743.700 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: Double, ArraySize: 250, InputSize: Short, Time: 0.273 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: Double, ArraySize: 250, InputSize: Long, Time: 0.267 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: Double, ArraySize: 2500, InputSize: Short, Time: 26.224 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: Double, ArraySize: 2500, InputSize: Long, Time: 26.183 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: Double, ArraySize: 25000, InputSize: Short, Time: 3134.018 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: Double, ArraySize: 25000, InputSize: Long, Time: 2807.033 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: String, ArraySize: 250, InputSize: Short, Time: 0.318 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: String, ArraySize: 250, InputSize: Long, Time: 0.318 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: String, ArraySize: 2500, InputSize: Short, Time: 40.254 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: String, ArraySize: 2500, InputSize: Long, Time: 34.212 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: String, ArraySize: 25000, InputSize: Short, Time: 5274.776 ms
Sorter: QuickSortGPT, Distribution: Pre-sorted, DataType: String, ArraySize: 25000, InputSize: Long, Time: 5417.817 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 250, InputSize: Short, Time: 0.202 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 250, InputSize: Long, Time: 0.202 ms
